SS,YYYY,MM,DD,HR,MIN,mm/dd/yyy,JULIAN,WEEK,StartTime,Sunrise_Time,JDY_GSS,NUM_DAYS_GSS,MIN_SUN
CL:C-001-1:1,2005,5,28,6,53,2005-05-28,148,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2005,6,18,7,24,2005-06-18,169,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2005,6,28,6,48,2005-06-28,179,27,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2006,5,22,5,42,2006-05-22,142,21,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2006,5,31,8,32,2006-05-31,151,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2006,6,11,5,34,2006-06-11,162,24,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2006,6,21,7,1,2006-06-21,172,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2006,6,30,4,48,2006-06-30,181,26,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2007,5,21,7,41,2007-05-21,141,21,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2007,5,31,8,6,2007-05-31,151,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2007,6,10,7,14,2007-06-10,161,24,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2007,6,21,8,1,2007-06-21,172,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2007,7,4,6,57,2007-07-04,185,27,1900-01-00,1/0/1900,0,0,0
CL:C-001-1:1,2008,5,29,7,23,2008-05-29,149,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2008,6,5,6,54,2008-06-05,156,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2008,6,20,10,10,2008-06-20,171,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2009,6,4,7,58,2009-06-04,155,23,1900-01-00,NA,0,0,0
CL:C-001-1:1,2009,6,10,5,13,2009-06-10,161,24,1900-01-00,NA,0,0,0
CL:C-001-1:1,2009,6,23,7,53,2009-06-23,174,26,1900-01-00,NA,0,0,0
CL:C-001-1:1,2009,6,29,5,27,2009-06-29,180,27,1900-01-00,NA,0,0,0
CL:C-001-1:1,2010,6,4,5,41,2010-06-04,155,23,1900-01-00,NA,0,0,0
CL:C-001-1:1,2010,6,10,4,55,2010-06-10,161,24,1900-01-00,NA,0,0,0
CL:C-001-1:1,2010,6,15,8,1,2010-06-15,166,25,1900-01-00,NA,0,0,0
CL:C-001-1:1,2010,6,20,4,52,2010-06-20,171,26,1900-01-00,NA,0,0,0
CL:C-001-1:1,2010,6,27,7,47,2010-06-27,178,27,1900-01-00,NA,0,0,0
