,SS,YEAR,NEAR.DIST.conventional.seismic,NEAR.DIST.unimproved.road,NEAR.DIST.harvest,NEAR.DIST.pipeline,MEANAGE.565.harvest,treatment,harvest_interaction
72,CL:C-010-1:1,2012,0.048454394,1,0.6553328,1,1,control,0.6553328
73,CL:C-010-1:1,2014,0.048454394,1,0.6553328,1,1,control,0.6553328
74,CL:C-010-1:1,1993,0.087763284,1,1,1,1,control,1
75,CL:C-010-1:1,1994,0.087763284,1,1,1,1,control,1
76,CL:C-010-1:1,1995,0.087763284,1,0.807415013,1,1,control,0.807415013
77,CL:C-010-1:1,1996,0.087763284,1,0.6553328,1,1,control,0.6553328
78,CL:C-010-1:1,1997,0.087763284,1,0.6553328,1,1,control,0.6553328
79,CL:C-010-1:1,1998,0.087763284,1,0.6553328,1,1,control,0.6553328
80,CL:C-010-1:1,1999,0.048454394,1,0.6553328,1,1,control,0.6553328
101,CL:C-010-2:1,2000,0.496820739,0.299184632,0.522439999,1,0.049257848,control,0.02573427
102,CL:C-010-2:1,2001,0.496820739,0.299184632,0.522439999,1,0.059109417,control,0.030881124
103,CL:C-010-2:1,2002,0.496820739,0.299184632,0.522439999,1,0.068960987,control,0.036027978
104,CL:C-010-2:1,2003,0.496820739,0.299184632,0.522439999,1,0.078812556,control,0.041174832
105,CL:C-010-2:1,2005,0.496820739,0.299184632,0.522439999,1,0.098515695,control,0.05146854
106,CL:C-010-2:1,2006,0.496820739,0.299184632,0.522439999,1,0.108367265,control,0.056615394
107,CL:C-010-2:1,2007,0.496820739,0.299184632,0.522439999,1,0.118218835,control,0.061762248
108,CL:C-010-2:1,2008,0.496820739,0.299184632,0.522439999,1,0.128070404,control,0.066909102
109,CL:C-010-2:1,2009,0.496820739,0.299184632,0.522439999,1,0.137921974,control,0.072055956
110,CL:C-010-2:1,2010,0.496820739,0.299184632,0.522439999,1,0.147773543,control,0.07720281
111,CL:C-010-2:1,2011,0.496820739,0.299184632,0.522439999,1,0.157625113,control,0.082349664
112,CL:C-010-2:1,2012,0.496820739,0.299184632,0.522439999,1,0.167476682,control,0.087496518
113,CL:C-010-2:1,2014,0.496820739,0.299184632,0.522439999,1,0.187179821,control,0.097790226
114,CL:C-010-2:1,1993,0.496820739,0.299184632,1,1,1,control,1
115,CL:C-010-2:1,1994,0.496820739,0.299184632,1,1,1,control,1
116,CL:C-010-2:1,1995,0.496820739,0.299184632,0.522439999,1,0,control,0
117,CL:C-010-2:1,1996,0.496820739,0.299184632,0.522439999,1,0.00985157,control,0.005146854
118,CL:C-010-2:1,1997,0.496820739,0.299184632,0.522439999,1,0.019703139,control,0.010293708
119,CL:C-010-2:1,1998,0.496820739,0.299184632,0.522439999,1,0.029554709,control,0.015440562
120,CL:C-010-2:1,1999,0.496820739,0.299184632,0.522439999,1,0.039406278,control,0.020587416
141,CL:C-010-3:1,2000,0.099402256,1,0.543602558,1,0.049257848,control,0.026776692
142,CL:C-010-3:1,2001,0.099402256,1,0.543602558,1,0.059109417,control,0.03213203
143,CL:C-010-3:1,2002,0.099402256,1,0.543602558,1,0.068960987,control,0.037487369
144,CL:C-010-3:1,2003,0.099402256,1,0.543602558,1,0.078812556,control,0.042842707
145,CL:C-010-3:1,2005,0.099402256,1,0.543602558,1,0.098515695,control,0.053553384
146,CL:C-010-3:1,2006,0.099402256,1,0.543602558,1,0.108367265,control,0.058908722
147,CL:C-010-3:1,2007,0.099402256,1,0.543602558,1,0.118218835,control,0.064264061
148,CL:C-010-3:1,2008,0.099402256,1,0.543602558,1,0.128070404,control,0.069619399
149,CL:C-010-3:1,2009,0.099402256,1,0.543602558,1,0.137921974,control,0.074974738
150,CL:C-010-3:1,2010,0.099402256,1,0.543602558,1,0.147773543,control,0.080330076
151,CL:C-010-3:1,2011,0.099402256,1,0.543602558,1,0.157625113,control,0.085685415
152,CL:C-010-3:1,2012,0.099402256,1,0.543602558,1,0.167476682,control,0.091040753
153,CL:C-010-3:1,2014,0.099402256,1,0.049924351,1,0.001042833,control,5.21E-05
154,CL:C-010-3:1,1993,0.36010389,1,1,1,1,control,1
155,CL:C-010-3:1,1994,0.36010389,1,1,1,1,control,1
156,CL:C-010-3:1,1995,0.36010389,1,0.543602558,1,0,control,0
157,CL:C-010-3:1,1996,0.36010389,1,0.543602558,1,0.00985157,control,0.005355338
158,CL:C-010-3:1,1997,0.36010389,1,0.543602558,1,0.019703139,control,0.010710677
159,CL:C-010-3:1,1998,0.36010389,1,0.543602558,1,0.029554709,control,0.016066015
160,CL:C-010-3:1,1999,0.099402256,1,0.543602558,1,0.039406278,control,0.021421354
181,CL:C-040-1:1-1,2000,0.219496433,1,0.739359558,1,1,control,0.739359558
182,CL:C-040-1:1-1,2001,0.219496433,1,0.739359558,1,1,control,0.739359558
183,CL:C-040-1:1-1,2002,0.219496433,1,0.739359558,1,1,control,0.739359558
184,CL:C-040-1:1-1,2003,0.219496433,1,0.739359558,1,1,control,0.739359558
185,CL:C-040-1:1-1,2005,0.219496433,1,0.739359558,1,1,control,0.739359558
186,CL:C-040-1:1-1,2006,0.219496433,1,0.739359558,1,1,control,0.739359558
187,CL:C-040-1:1-1,2007,0.219496433,1,0.739359558,1,1,control,0.739359558
188,CL:C-040-1:1-1,2008,0.219496433,1,0.739359558,1,1,control,0.739359558
189,CL:C-040-1:1-1,2009,0.219496433,1,0.739359558,1,1,control,0.739359558
190,CL:C-040-1:1-1,2010,0.219496433,1,0.739359558,1,1,control,0.739359558
191,CL:C-040-1:1-1,2011,0.219496433,1,0.739359558,1,1,control,0.739359558
192,CL:C-040-1:1-1,2012,0.219496433,1,0.739359558,1,1,control,0.739359558
193,CL:C-040-1:1-1,2014,0.219496433,1,0.739359558,1,1,control,0.739359558
194,CL:C-040-1:1-1,1993,0.219496433,1,1,1,1,control,1
195,CL:C-040-1:1-1,1994,0.219496433,1,1,1,1,control,1
196,CL:C-040-1:1-1,1995,0.219496433,1,0.739359558,1,1,control,0.739359558
197,CL:C-040-1:1-1,1996,0.219496433,1,0.739359558,1,1,control,0.739359558
198,CL:C-040-1:1-1,1997,0.219496433,1,0.739359558,1,1,control,0.739359558
199,CL:C-040-1:1-1,1998,0.219496433,1,0.739359558,1,1,control,0.739359558
200,CL:C-040-1:1-1,1999,0.219496433,1,0.739359558,1,1,control,0.739359558
221,CL:C-040-1:1-3,2000,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
222,CL:C-040-1:1-3,2001,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
223,CL:C-040-1:1-3,2002,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
224,CL:C-040-1:1-3,2003,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
225,CL:C-040-1:1-3,2005,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
226,CL:C-040-1:1-3,2006,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
227,CL:C-040-1:1-3,2007,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
228,CL:C-040-1:1-3,2008,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
229,CL:C-040-1:1-3,2009,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
230,CL:C-040-1:1-3,2010,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
231,CL:C-040-1:1-3,2011,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
232,CL:C-040-1:1-3,2012,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
233,CL:C-040-1:1-3,2014,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
234,CL:C-040-1:1-3,1993,0.217658182,0.761402174,1,1,1,control,1
235,CL:C-040-1:1-3,1994,0.217658182,0.761402174,1,1,1,control,1
236,CL:C-040-1:1-3,1995,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
237,CL:C-040-1:1-3,1996,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
238,CL:C-040-1:1-3,1997,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
239,CL:C-040-1:1-3,1998,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
240,CL:C-040-1:1-3,1999,0.217658182,0.761402174,0.618815602,1,1,control,0.618815602
261,CL:C-040-1:2-1,2000,0.325452425,1,0.921116445,1,1,control,0.921116445
262,CL:C-040-1:2-1,2001,0.325452425,1,0.921116445,1,1,control,0.921116445
263,CL:C-040-1:2-1,2002,0.325452425,1,0.921116445,1,1,control,0.921116445
264,CL:C-040-1:2-1,2003,0.325452425,1,0.921116445,1,1,control,0.921116445
265,CL:C-040-1:2-1,2005,0.325452425,1,0.921116445,1,1,control,0.921116445
266,CL:C-040-1:2-1,2006,0.325452425,1,0.921116445,1,1,control,0.921116445
267,CL:C-040-1:2-1,2007,0.325452425,1,0.921116445,1,1,control,0.921116445
268,CL:C-040-1:2-1,2008,0.325452425,1,0.921116445,1,1,control,0.921116445
269,CL:C-040-1:2-1,2009,0.325452425,1,0.921116445,1,1,control,0.921116445
270,CL:C-040-1:2-1,2010,0.325452425,1,0.921116445,1,1,control,0.921116445
271,CL:C-040-1:2-1,2011,0.325452425,1,0.921116445,1,1,control,0.921116445
272,CL:C-040-1:2-1,2012,0.325452425,1,0.921116445,1,1,control,0.921116445
273,CL:C-040-1:2-1,2014,0.325452425,1,0.921116445,1,1,control,0.921116445
274,CL:C-040-1:2-1,1993,0.325452425,1,1,1,1,control,1
275,CL:C-040-1:2-1,1994,0.325452425,1,1,1,1,control,1
276,CL:C-040-1:2-1,1995,0.325452425,1,0.921116445,1,1,control,0.921116445
277,CL:C-040-1:2-1,1996,0.325452425,1,0.921116445,1,1,control,0.921116445
278,CL:C-040-1:2-1,1997,0.325452425,1,0.921116445,1,1,control,0.921116445
279,CL:C-040-1:2-1,1998,0.325452425,1,0.921116445,1,1,control,0.921116445
280,CL:C-040-1:2-1,1999,0.325452425,1,0.921116445,1,1,control,0.921116445
301,CL:C-040-1:2-3,2000,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
302,CL:C-040-1:2-3,2001,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
303,CL:C-040-1:2-3,2002,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
304,CL:C-040-1:2-3,2003,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
305,CL:C-040-1:2-3,2005,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
306,CL:C-040-1:2-3,2006,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
307,CL:C-040-1:2-3,2007,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
308,CL:C-040-1:2-3,2008,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
309,CL:C-040-1:2-3,2009,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
310,CL:C-040-1:2-3,2010,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
311,CL:C-040-1:2-3,2011,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
312,CL:C-040-1:2-3,2012,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
313,CL:C-040-1:2-3,2014,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
314,CL:C-040-1:2-3,1993,0.348654246,0.765716637,1,1,1,control,1
315,CL:C-040-1:2-3,1994,0.348654246,0.765716637,1,1,1,control,1
316,CL:C-040-1:2-3,1995,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
317,CL:C-040-1:2-3,1996,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
318,CL:C-040-1:2-3,1997,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
319,CL:C-040-1:2-3,1998,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
320,CL:C-040-1:2-3,1999,0.348654246,0.765716637,0.615478129,1,1,control,0.615478129
341,CL:C-040-2:1-1,2000,0.201905498,0.659213562,0.109969996,0.704481181,0.049257848,control,0.005416885
342,CL:C-040-2:1-1,2001,0.201905498,0.659213562,0.109969996,0.704481181,0.059109417,control,0.006500262
343,CL:C-040-2:1-1,2002,0.201905498,0.659213562,0.109969996,0.704481181,0.068960987,control,0.007583639
344,CL:C-040-2:1-1,2003,0.201905498,0.659213562,0.109969996,0.704481181,0.078812556,control,0.008667016
345,CL:C-040-2:1-1,2005,0.201905498,0.659213562,0.109969996,1,0.082245025,control,0.009044485
346,CL:C-040-2:1-1,2006,0.201905498,0.659213562,0.109969996,1,0.092096594,control,0.010127862
347,CL:C-040-2:1-1,2007,0.201905498,0.659213562,0.109969996,1,0.101948164,control,0.011211239
348,CL:C-040-2:1-1,2008,0.201905498,0.659213562,0.109969996,1,0.111799734,control,0.012294616
349,CL:C-040-2:1-1,2009,0.201905498,0.659213562,0.109969996,1,0.121651303,control,0.013377993
350,CL:C-040-2:1-1,2010,0.201905498,0.659213562,0.109969996,1,0.131502873,control,0.01446137
351,CL:C-040-2:1-1,2011,0.201905498,0.659213562,0.109969996,1,0.141354442,control,0.015544747
352,CL:C-040-2:1-1,2012,0.201905498,0.659213562,0.109969996,1,0.151206012,control,0.016628124
353,CL:C-040-2:1-1,2014,0.201905498,0.659213562,0.109969996,1,0.170909151,control,0.018794879
354,CL:C-040-2:1-1,1993,0.201905498,0.659213562,1,0.704481181,1,control,1
355,CL:C-040-2:1-1,1994,0.201905498,0.659213562,1,0.704481181,1,control,1
356,CL:C-040-2:1-1,1995,0.201905498,0.659213562,0.109969996,0.704481181,0,control,0
357,CL:C-040-2:1-1,1996,0.201905498,0.659213562,0.109969996,0.704481181,0.00985157,control,0.001083377
358,CL:C-040-2:1-1,1997,0.201905498,0.659213562,0.109969996,0.704481181,0.019703139,control,0.002166754
359,CL:C-040-2:1-1,1998,0.201905498,0.659213562,0.109969996,0.704481181,0.029554709,control,0.003250131
360,CL:C-040-2:1-1,1999,0.201905498,0.659213562,0.109969996,0.704481181,0.039406278,control,0.004333508
381,CL:C-040-2:1-3,2000,0.19132699,0.242968374,0.508292416,0.507994562,0.049257848,control,0.02503739
382,CL:C-040-2:1-3,2001,0.19132699,0.242968374,0.508292416,0.507994562,0.059109417,control,0.030044869
383,CL:C-040-2:1-3,2002,0.19132699,0.242968374,0.508292416,0.507994562,0.068960987,control,0.035052347
384,CL:C-040-2:1-3,2003,0.19132699,0.242968374,0.508292416,0.507994562,0.078812556,control,0.040059825
385,CL:C-040-2:1-3,2005,0.19132699,0.242968374,0.508292416,0.252185922,0.098515695,control,0.050074781
386,CL:C-040-2:1-3,2006,0.19132699,0.242968374,0.508292416,0.252185922,0.108367265,control,0.055082259
387,CL:C-040-2:1-3,2007,0.19132699,0.242968374,0.508292416,0.252185922,0.118218835,control,0.060089737
388,CL:C-040-2:1-3,2008,0.19132699,0.242968374,0.508292416,0.252185922,0.128070404,control,0.065097215
389,CL:C-040-2:1-3,2009,0.19132699,0.242968374,0.508292416,0.252185922,0.137921974,control,0.070104693
390,CL:C-040-2:1-3,2010,0.19132699,0.242968374,0.508292416,0.252185922,0.147773543,control,0.075112171
391,CL:C-040-2:1-3,2011,0.19132699,0.242968374,0.508292416,0.252185922,0.157625113,control,0.080119649
392,CL:C-040-2:1-3,2012,0.19132699,0.242968374,0.508292416,0.252185922,0.167476682,control,0.085127127
393,CL:C-040-2:1-3,2014,0.19132699,0.242968374,0.508292416,0.252185922,0.187179821,control,0.095142084
394,CL:C-040-2:1-3,1993,0.19132699,0.242968374,1,0.507994562,1,control,1
395,CL:C-040-2:1-3,1994,0.19132699,0.242968374,1,0.507994562,1,control,1
396,CL:C-040-2:1-3,1995,0.19132699,0.242968374,0.508292416,0.507994562,0,control,0
397,CL:C-040-2:1-3,1996,0.19132699,0.242968374,0.508292416,0.507994562,0.00985157,control,0.005007478
398,CL:C-040-2:1-3,1997,0.19132699,0.242968374,0.508292416,0.507994562,0.019703139,control,0.010014956
399,CL:C-040-2:1-3,1998,0.19132699,0.242968374,0.508292416,0.507994562,0.029554709,control,0.015022434
400,CL:C-040-2:1-3,1999,0.19132699,0.242968374,0.508292416,0.507994562,0.039406278,control,0.020029912
421,CL:C-040-2:2-1,2000,0.400993039,0.625330507,0.185419408,0.526981037,0.049257848,control,0.009133361
422,CL:C-040-2:2-1,2001,0.400993039,0.625330507,0.185419408,0.526981037,0.059109417,control,0.010960033
423,CL:C-040-2:2-1,2002,0.400993039,0.625330507,0.185419408,0.526981037,0.068960987,control,0.012786705
424,CL:C-040-2:2-1,2003,0.400993039,0.625330507,0.185419408,0.526981037,0.078812556,control,0.014613378
425,CL:C-040-2:2-1,2005,0.400993039,0.625330507,0.153354906,0.526981037,0.06708868,control,0.010288378
426,CL:C-040-2:2-1,2006,0.400993039,0.625330507,0.153354906,0.526981037,0.07694025,control,0.011799165
427,CL:C-040-2:2-1,2007,0.400993039,0.625330507,0.153354906,0.526981037,0.086791819,control,0.013309951
428,CL:C-040-2:2-1,2008,0.400993039,0.625330507,0.153354906,0.526981037,0.096643389,control,0.014820738
429,CL:C-040-2:2-1,2009,0.400993039,0.625330507,0.153354906,0.526981037,0.106494958,control,0.016331524
430,CL:C-040-2:2-1,2010,0.400993039,0.625330507,0.153354906,0.526981037,0.116346528,control,0.017842311
431,CL:C-040-2:2-1,2011,0.400993039,0.625330507,0.153354906,0.526981037,0.126198097,control,0.019353097
